id,major,classification,attend_company_showcase,rate_company_showcase,feedback_company_showcase,where_found_info,use_any_website_resources,any_dislike_comm,rate_whether_info_sent_timely,rate_documentation,feedback_documentation,date,overall_rating,feedback_what_worked,feedback_what_did_not_work,feedback_career_fair,rate_career_virtual_platform,issues_career_virtual_platform,favorite_features_career_virtual_platform,future_features_career_virtual_platform,other_comm,Year,any_dislike_comm_sentiment_fall_2021,feedback_company_showcase_sentiment_fall_2021,feedback_documentation_sentiment_fall_2021,feedback_what_worked_sentiment_fall_2021,feedback_what_did_not_work_sentiment_fall_2021,feedback_career_fair_sentiment_fall_2021,other_comm_sentiment_fall_2021
69,Petroleum Engineering,Senior,Yes,7,"1: Provide students with water or have the water fountains running. Turning off the water fountains when having a large group of people in the same building is not combatting covid.

2: One of the members of the SEC Career Fair did not allow me to enter because I was wearing tennis shoes. He mentioned that non dress shoes were not allowed. My tennis shoes were black and discreet. They reduce my back pain when standing long hours. Some people get into the fair without blazers or dress shirts and stop people with comfortable discreet shoes? Letting someone in without a suit represents Texas A&M in a lesser way than a pair of tennis shoes. No recruiter is going to be staring at your feet as long as you don’t wear flip flops…

Lets stop being silly and get things done!","SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,7,8,,Hybrid Attendance of In-Person and Virtual,9,The map and QR code.,,,9,,,,,Fall 2021,1,2,3,5,2,2,2
70,Other,Sophomore,No,,,Professor/Advisor/TA,I did not use any of the above resources,,10,10,,"Day 3 (Virtual, September 10th)",,,,,10,,,,"My professor gave us freshman an assignment over the fair and while a vast majority of students are there to get hired or looking for internships, it would be nice if some companies had some insight sessions for us first year engineering students. I know we can google stuff and research on our own but hearing it from a company rep would cool too.",Fall 2021,2,3,4,3,3,5,4
71,Mechanical Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails",Company Search/Information,,10,10,,Hybrid Attendance of In-Person and Virtual,10,,,,10,,,,,Fall 2021,3,3,3,5,3,3,4
72,Mechanical Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails",I did not use any of the above resources,,10,10,,Hybrid Attendance of In-Person and Virtual,10,,,,10,,,,,Fall 2021,2,3,3,4,3,2,5
73,Aerospace Engineering,Freshman,Yes,8,"I thought that there was a lot of people, but that is good because it means that a lot of students went.","Texas A&M Career Center, College of Engineering Emails",Company Search/Information,,10,10,I thought it was very helpful as it was.,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",10,,,,9,"My microphone wasn't working, so I had to stop using my headphones. ",,,,Fall 2021,1,3,3,5,2,2,4
74,Electrical Engineering,Senior,No,,,"College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist, Zoom Help Rooms during the online portion",,7,8,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",4,,"Finding the company, everything was too compact, all companies said to apply online, guiding the students to desired destination was horrible, check in bags was horrible. ",Bigger spacing area. More employees to guide students. ,2,"Poor connections from the other side, missed an interview due to poor connectivity of the employer ",Booking was easy ,Better servers for connectivity issues ,,Fall 2021,3,3,2,4,1,3,2
75,Materials Science and Engineering,Junior,No,,,Texas A&M Career Center,"Company Search/Information, Career Fair Plus tutorial/walkthrough links",,7,6,,"Day 3 (Virtual, September 10th)",,,,,2,It didn't work for any of my recruiters. Had to use microsoft teams or phone call them which was only possible because I put in my email,,Functionality,,Fall 2021,3,3,3,5,3,5,5
76,Civil & Environmental Engineering,Masters,No,,,College of Engineering Emails,Company Search/Information,,8,,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",9,,,I think some companies just show up to advertise their own companies. Some interviewers are not professional or unbiased. I have seen how much this dissuade students from going forward and looking for jobs. I think that would be great if you would talk about this with students in your getting ready to apply for jobs packages. Applying for jobs is a stressful and inconvenient process for anybody. Campus career fairs are great opportunities and appreciable but I think students need to be more prepared for the outcome of these kind of events and also online job searches. Thank you so much. ,,,,,,Fall 2021,3,3,2,5,1,5,4
77,Chemical Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates","Company Search/Information, Zoom Help Rooms during the online portion, Other",No,10,10,Everything was pretty straightforward. I saw a lot of first timers get kicked out for dress code violations so maybe reminders about dress code via email & on the career fair website even if it does seem pretty obvious ,Hybrid Attendance of In-Person and Virtual,10,Was very organized and well laid out. Everyone on the fair staff knew their job prior and executed well,No complaints,Possibly get someone to survey which companies get long lines and try to position them accordingly in the future so those lines don’t interfere with other companies ,10,,Information of the recruiter before going into talking,,No,Fall 2021,1,3,3,5,4,3,1
78,Chemical Engineering,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Professor/Advisor/TA","Company Search/Information, Other",,9,9,,Hybrid Attendance of In-Person and Virtual,9,The virtual career fair is much more accessible and easier to work into my schedule on top of classes and homework.,"The bag check-out process was a mess. The 2nd day I waited 15 minutes for my bag before I was taken to the back and found it myself. I watched as they'd come out with a bag that didn't belong to anyone waiting, and often when they brought out a bag it would have the number assigned to a certain person, but it would be someone else's bag. It would also be incredible if the career fair could coordinate with engineering classes so that students could put more time and energy towards being prepared and doing well at the career fair.",Have a better bag-checking system. Coordinate with engineering professors. Have more virtual meetings.,9,One of the meeting links wasn't working for the recruiter so they called me at the number I provided and we talked over the phone.,I like being able to take notes and favorite companies and being able to set filters to find companies I'm interested in.,,"It would be nice if there was a place to change very close to the venue. I had a lab the same day as the career fair and needed to change, but after changing in the MSC I had to come to the fair sweaty.",Fall 2021,1,1,3,5,2,3,3
79,Mechanical Engineering,PhD,Yes,7,Inclusion of More companies that would consider international students ,"College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist",,8,8,,"Day 3 (Virtual, September 10th)",,,,,5,,,,,Fall 2021,1,3,2,4,1,2,5
80,Aerospace Engineering,Masters,Yes,9,Better air conditioning. Some companies were also not where they were listed at the location/time on the pamphlet. An update would have been nice,"SEC Career Fair Website (careerfair.sec.tamu.edu), Friends/Classmates","Company Search/Information, Student Checklist",,7,8,,Hybrid Attendance of In-Person and Virtual,9,,,,7,,,,,Fall 2021,3,3,4,4,1,4,4
81,Industrial & Systems Engineering,Masters,Yes,5,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,8,8,,Hybrid Attendance of In-Person and Virtual,9,,,,8,,,,,Fall 2021,5,3,4,4,3,3,4
82,Other,Freshman,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Professor/Advisor/TA",Student Checklist,,10,7,Make the website easier to navigate,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",8,The organization of booths,The handling of queue lines for some of the more popular booths,Give some of the more “popular” companies a little more space to accommodate the long queue lines they will likely have,,,,,"All of the representatives I spoke to were incredibly helpful and offered advice and guidance that has already been, and will continue to be, incredibly helpful.  I think the fact that info about the Career Fair was communicated to Freshman was great and I am so thankful to be given the opportunity to have this experience so early on in my college career.",Fall 2021,1,4,4,4,4,3,5
83,Chemical Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates",Company Search/Information,,7,7,,Hybrid Attendance of In-Person and Virtual,9,layout of booths,Lines were difficult to manage. It was hard to know which line was for which company. Even for backpack check-in/check-out some people didn't know where the end of the line was or if the line was for a company. ,,8,,,The ability to upload multiple resumes and mark which resume a company will see,,Fall 2021,1,2,3,4,2,3,4
84,Biological & Agricultural Engineering,Junior,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),"Company Search/Information, Student Checklist, Zoom Help Rooms during the online portion",,9,8,,Hybrid Attendance of In-Person and Virtual,8,,,Bring more companies that cater to everyone. Very few Bio&Ag companies,9,,,,,Fall 2021,1,3,4,5,3,5,3
85,Industrial & Systems Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails","Company Search/Information, Career Fair Plus tutorial/walkthrough links",,10,10,,"Day 3 (Virtual, September 10th)",,,,,10,,,,,Fall 2021,3,4,4,5,2,3,3
86,Mechanical Engineering,Junior,Yes,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, Friends/Classmates",Company Search/Information,,9,9,,Hybrid Attendance of In-Person and Virtual,7,,Some people set up appointments and it was unfair to people who couldn't reserve appointments.,,9,,Having a set schedule.,,,Fall 2021,1,3,2,5,2,2,5
87,Electrical Engineering,Masters,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),Career Fair Plus tutorial/walkthrough links,,9,9,,Hybrid Attendance of In-Person and Virtual,9,,,,10,,,,,Fall 2021,5,2,3,5,4,4,4
88,Civil & Environmental Engineering,Sophomore,Yes,10,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails, Professor/Advisor/TA","Company Search/Information, Career Fair Plus tutorial/walkthrough links",,10,10,,"Day 3 (Virtual, September 10th)",,,,,10,,,,,Fall 2021,1,3,1,5,2,3,5
89,Mechanical Engineering,Senior,Yes,8,Bring more international hire companies ,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center",Company Search/Information,,8,8,,Hybrid Attendance of In-Person and Virtual,8,,,,8,,,,,Fall 2021,1,5,4,5,1,2,5
90,Computer Science,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails","Company Search/Information, Career Fair Plus tutorial/walkthrough links",,8,9,Publicize the meeting limit and that it will be lifted after a certain date ahead of time so attendees can schedule meetings with their most-preferred companies first. ,"Day 3 (Virtual, September 10th)",,,,,10,"The built-in conferencing, Zoom, Teams, and Webex worked great, but I'd advise companies against using Google Meet, is has a lot of audio issues.",Being able to knock,Add a way for the recruiter in the room to let you know they're there. ,,Fall 2021,1,4,4,4,3,2,4
91,Electrical Engineering,Junior,No,,,"SEC Social Media (Instagram, Facebook, or LinkedIn), Friends/Classmates",Other,,10,7,,Hybrid Attendance of In-Person and Virtual,8,,,,10,,,,,Fall 2021,2,3,4,3,1,3,4
92,Computer Science,Masters,Yes,8,More number of companies needed.,SEC Career Fair Website (careerfair.sec.tamu.edu),Company Search/Information,,6,6,,Hybrid Attendance of In-Person and Virtual,4,,More number of big companies needed as small companies do not entertain international students because of sponsorship requirement.,,5,,,,,Fall 2021,2,3,4,4,2,2,5
93,Industrial & Systems Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, Friends/Classmates","Company Search/Information, Student Checklist",,8,8,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",8,,allow seniors a special time to interact with companies without underclassmen,,,,,,,Fall 2021,1,5,3,4,4,1,5
94,Aerospace Engineering,Junior,Yes,7,"I'm not sure how much control y'all have over this, but it was very difficult getting to talk to aerospace companies as an aerospace major due to the influx of nearly every other major. I wasn't able to talk to many due to the long wait times, but the virtual option allowed for much better communication.","SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails",Company Search/Information,,10,10,,Hybrid Attendance of In-Person and Virtual,,Virtual was much better this time around.,"Again, not much control over this but many aero students couldn't actually talk to aero companies in person due to the long lines.",,,,,,,Fall 2021,2,3,2,2,3,3,5
95,Manufacturing and Mechanical Engineering Technology,Alumni,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center",Company Search/Information,,9,9,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",9,Company search ,,,9,,,,,Fall 2021,1,3,5,4,2,5,5
96,Mechanical Engineering,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center","Company Search/Information, Student Checklist",,10,8,,Hybrid Attendance of In-Person and Virtual,8,,,,8,,,,,Fall 2021,3,2,3,5,2,5,4
97,Computer Science,Freshman,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,8,7,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",,,,,8,,,,,Fall 2021,1,3,3,3,3,3,5
98,Manufacturing and Mechanical Engineering Technology,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA",Company Search/Information,,10,7,,Hybrid Attendance of In-Person and Virtual,7,,I had issues with the career fair website and downloading my career fair guide so I ended up having to create my own document because the website threw error codes the night before the fair,,10,,Easy to use,,,Fall 2021,5,3,2,5,1,4,3
99,Other,Masters,Yes,8,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA, Other",Company Search/Information,,9,5,"Make the map more accessible, I had trouble finding companies initially",Hybrid Attendance of In-Person and Virtual,9,,,"Have more biotech companies. Matica Biotechnologies, Bayer CropScience, Thermofisher, AbbVie, etc.",,,,,,Fall 2021,3,3,4,4,3,3,3
100,Other,Freshman,No,,,"College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA",Company Search/Information,,10,10,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",8,,,,,,,,,Fall 2021,1,3,4,5,2,3,4
101,Electrical Engineering,Masters,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails","Company Search/Information, Career Fair Plus tutorial/walkthrough links",,10,10,,"Day 3 (Virtual, September 10th)",,,,,10,,,,,Fall 2021,1,4,4,5,2,3,3
102,Computer Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails","Company Search/Information, Student Checklist",,10,,,Hybrid Attendance of In-Person and Virtual,10,,,,10,,,,,Fall 2021,1,4,2,4,2,5,4
103,Chemical Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, Friends/Classmates","Company Search/Information, Career Fair Plus tutorial/walkthrough links",Having a more consolidated place for information regarding the use of the career fair plus app would be helpful,7,7,,Hybrid Attendance of In-Person and Virtual,6,,,,8,,,A better FAQ and more frequent communication regarding the signup dates for companies would be much appreciated!,,Fall 2021,3,4,5,4,2,3,2
104,Industrial & Systems Engineering,Masters,Yes,7,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Student Checklist",,9,7,,"Day 3 (Virtual, September 10th)",,,,,7,,,,,Fall 2021,1,5,2,5,4,1,4
105,Chemical Engineering,Alumni,Yes,8,"I didn't like the online portion.  Also, there were slots with no companies I was interested in (or took my major at all) and others where multiple companies were there.  ",SEC Career Fair Website (careerfair.sec.tamu.edu),"Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,9,9,,Hybrid Attendance of In-Person and Virtual,10,"In person was great.  Online was good too, especially for companies that had a long line in person.","Some of the companies that were supposed to be online had no meetings available, so they were 'there' but not.",,9,"I was surprised with the 5 company limit, so had to change my strategy.  The limit was a good thing; it just would have helped to have known that at the beginning.",It was easy to log on and schedule.  You didn't have to download something else and it just worked.,,,Fall 2021,5,2,3,4,2,1,4
106,Aerospace Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Friends/Classmates",Company Search/Information,,3,4,Start sending it out earlier. I was getting into the semester and realized not long before I had a career fair.,Hybrid Attendance of In-Person and Virtual,6,,Not enough AERO Companies ,Each major have career fairs instead or make the areas more grouped by major. Just wandered a lot to find companies to talk to with my major.,10,,,,,Fall 2021,1,5,2,4,1,2,3
107,Industrial & Systems Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist",,10,10,,Hybrid Attendance of In-Person and Virtual,8,Everything on SEC side was great ,,,10,,,,,Fall 2021,2,2,3,5,2,3,1
108,Petroleum Engineering,Masters,Yes,10,"water people were great but a snack area would be nice too :)larger spread of hours so that we dont need to miss class - but multiple days helped greatly
","SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links, Zoom Help Rooms during the online portion","
great",10,10,great - it would have been nice to know that we could queue 5 companies ( i was expecting only 3 so it threw off my game plan),Hybrid Attendance of In-Person and Virtual,10,backpack drop opportunity was great,"name tag area at beginning of morning was wayyyyy tooooo crowded
backpack drop was not as efficient as I think it could be","more companies for more days - some companies were there just one day so it made it harder to visit
but the online portion was great",10,I had a glitch where it say 50 minutes and then I ended up missing a call - the system must have froze?,"queue 5 companies, status (busy, active, will return)",queue more than 5 ,really a great job,Fall 2021,5,4,4,5,3,3,5
109,Mechanical Engineering,Senior,Yes,9,audio/sound issues were present at times for companies that participated virtually,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn)","Company Search/Information, Student Checklist",,10,9,add dress code specifications on website,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",10,layout of companies were easy to follow,"access to water fountains, hardly any. that wasn't clear",,,,,,,Fall 2021,3,3,5,4,2,3,4
110,Mechanical Engineering,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails","Company Search/Information, Student Checklist",,1,1,Explain more about bringing multiple copies of your resume in a folder and you should recommend a water bottle too.,Hybrid Attendance of In-Person and Virtual,2,saw companies,it was so chaotic it ruined my entire week,water,1,confusing and buggy,none,,,Fall 2021,2,5,5,4,1,3,1
111,Computer Science,Freshman,Yes,6,,"SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates",Zoom Help Rooms during the online portion,,10,6,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",7,"The virtual option was very efficient, and I was able to have good conversations",The space was a bit too crowded for comfort during a pandemic.,,10,,The ability to schedule a meeting beforehand with companies,The option to email recruiters directly after the interview.,,Fall 2021,1,5,1,5,3,4,5
112,Civil & Environmental Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Professor/Advisor/TA",Company Search/Information,,9,9,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",10,The backpack check in.,How cramped it felt when getting to the different booths.,Give out name tags to use another professional events.,10,,,,,Fall 2021,2,2,5,4,2,1,2
113,Biomedical Engineering,Freshman,Yes,7,more companies with different disciplines of engineering,"College of Engineering Emails, Friends/Classmates",Company Search/Information,,9,8,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",8,,,,8,,,,,Fall 2021,3,3,4,5,4,4,4
114,Computer Engineering,Junior,No,,,"College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA",Company Search/Information,,,,,,,,,,,,,,,Fall 2021,5,3,4,1,3,3,3
115,Chemical Engineering,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates, Other",I did not use any of the above resources,Didn't give much insight to the online portion of the career fair and was kind of vague for first time attendees.,8,6,More information on how the whole fair works for those who haven't attended before.,Hybrid Attendance of In-Person and Virtual,7,The multiple days to fit schedules.,Having to fit into class schedule.,"I don't know if this is possible but making it easier for people to go to the career fair while it is here, many, including myself, had classes that made doing certain only and in person aspects of career fair difficult to fit into our schedule.",9,Little confusion on signing up for virtual meetings.,Descriptions of the companies and what they were looking for.,,,Fall 2021,3,3,4,4,3,3,3
116,Petroleum Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates","Company Search/Information, Other",,8,8,Have a user video as a student at TAMU.,Hybrid Attendance of In-Person and Virtual,9,Companies with plenty of representatives did not have long wait times even if the lines were long.,Many company rows were very packed together.,"Maybe have bike spots closer to Kyle field, if possible. ",9,"Had a couple microphone issues in the first meeting where multiple headphones did not work, as well as computer mic.",Being able to have set meeting times with recruiters so that class wouldn't have to be missed.,The ability to make more than just 5 meetings total. ,Thank you for continuously putting this event on!,Fall 2021,1,5,5,3,2,3,5
117,Mechanical Engineering,Sophomore,No,,,College of Engineering Emails,Company Search/Information,,10,,,"Day 3 (Virtual, September 10th)",,,,,10,,,,,Fall 2021,3,2,2,4,3,5,4
118,Electronic Systems Engineering Technology,Senior,Yes,1,"Stop holding it. I've attended this evening, each semester I have been here from fish to Senior and it has always been the same. The ventors treat you like cattle, some refuse you for odd reasons and the grand majority stop talking to you the moment ""below 3.5"" comes out of your mouth. What a waste of time.","SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",Nah,8,7,That it's unhelpful for the grand majority of students,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",1,Scheduling to meet with recruiters,Recruiters in general,Stop hosting it.,9,,Scheduling meetings,,"Recruiters are generally Awful... Not that I particularly blame them. There's a few thousand people, many of which are underqualified. However, none of them seem to care about experience just that 3.5+ GPA.",Fall 2021,3,1,2,4,4,1,2
119,Civil & Environmental Engineering,Junior,Yes,7,"Better marketing, more time for Q/A's (like a Panel of sorts?) ","SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates",Company Search/Information,,9,7,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",10,,"No access to water for students, very few places for students to sit down and rest. ","Company booths organized in a better manner, such as alphabetically, or by major/position. Many students didn't know there was an entire 3rd floor, and did not check the website for booth locations.",,,,,,Fall 2021,2,2,3,4,2,2,5
120,Electrical Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Friends/Classmates","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,5,1,,"Day 3 (Virtual, September 10th)",,,,,1,,,,,Fall 2021,2,4,2,4,2,5,5
121,Civil & Environmental Engineering,Senior,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),Company Search/Information,np,6,6,no,Hybrid Attendance of In-Person and Virtual,5,no,no,no,5,no,no,no,thanks,Fall 2021,3,5,1,1,1,1,5
122,Industrial & Systems Engineering,Junior,No,,"Some of the companies left early, which I get for some cases, but it should either be discouraged or made known earlier - I didn't get to talk to some of the companies I wanted to because they left nearly an hour before the show ended.","SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,10,10,,Hybrid Attendance of In-Person and Virtual,10,,,,10,,,,,Fall 2021,1,3,5,5,3,3,4
123,Aerospace Engineering,Senior,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),"Company Search/Information, Student Checklist",No,8,5,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",3,Being able to talk to recruiters face-to-face,The appointment scheduling system,"Get rid of the appointment scheduling system. It only holds up the recruiter line and doesn't take into account the line to get in. Back before the scheduling system was implemented, waiting in lines wasn't fun, but it was tolerable. With the appointment system, however, getting spoken to at a rate of about one student per 30-45 minutes due to appointments constantly cutting the line was miserable.",5,,,,,Fall 2021,1,2,4,4,4,2,4
124,Mechanical Engineering,Junior,Yes,8,"Increasing the selection of companies at the Company Showcase would increase it's benefit to students, but this year it was already fantastic!","SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates",Company Search/Information,,10,,,"Day 3 (Virtual, September 10th)",,,,,10,None!,IT IS WILDLY SUPERIOR TO SYMPLICITY :),being able to chat back to recruiters before the meeting if something is having technical difficulties or they're running late (I don't think this is a current feature but I could have just missed it,Y'all did AMAZING!,Fall 2021,1,5,3,4,3,3,5
125,Civil & Environmental Engineering,Freshman,Yes,8,"At the end of each row of booths, put a sign that has a list of all the companies there.  It's a hassle to have to rely on the picture I took of the booths map at the entrance, and I can't remember where all of them are.  It's awkward to just walk up and down rows aimlessly, looking at signs, and not talking to them.",SEC Career Fair Website (careerfair.sec.tamu.edu),"Company Search/Information, Student Checklist",,,,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",8,,"Some of the large companies (that attracted a lot of people) were put on the sides where there is more room, but some were not.  Notably one just to the left and on the left after walking in, it was quite annoying.",,2,"The companies that I tried to get in contact with did not reach out to me at all, and when I reached out to them, no response.  Pretty terrible experience.",,"An in-site system for communication, or a direct link (like with zoom), because using a phone number or anything like that was ineffective","Ensure the reliability of companies to be actually there.  Both in person towards the end of the day, and online at any point.  Those were my main issues.",Fall 2021,3,2,5,4,2,3,5
126,Civil & Environmental Engineering,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,10,10,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",10,The organization of the booths,,,10,,,,,Fall 2021,2,4,2,4,3,3,5
127,Other,Freshman,Yes,8,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",Sometimes the emails were sent in excess so information got lost,8,7,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",8,I liked the booth organization. Very easy to navigate,,,7,none,Being able to search companies by keywords and majors wanted,,,Fall 2021,2,2,5,4,1,5,1
128,Electrical Engineering,Senior,No,,,College of Engineering Emails,"Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,10,9,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",10,,,Make it even bigger,9,,,,,Fall 2021,3,3,3,4,2,2,4
129,Mechanical Engineering,Masters,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,9,8,A better layout.,Hybrid Attendance of In-Person and Virtual,8,It gave a good opportunity to network and meet new people.,There should be more places to sit and maybe a few more water stations.,It was a near perfect experience for me. Just that the unavailability of places to sit made me fatigued.,8,,,,,Fall 2021,3,2,3,4,3,4,5
130,Electrical Engineering,Masters,Yes,7,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center",Company Search/Information,,5,7,,"Day 3 (Virtual, September 10th)",,,,,9,,,,,Fall 2021,1,3,3,5,2,5,5
131,Computer Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates",Student Checklist,,8,5,,Hybrid Attendance of In-Person and Virtual,6,,,,10,,,Many Companies were already full and not accepting any more meetings being scheduled. There should have been some sort of indication on the browse all companies screen.,,Fall 2021,1,3,5,3,2,5,4
